dataset,relation,keep,edge_seed,seed,model,norm,init,layers,n_nodes,n_edges,auc,auprc,mad,mad_random,train_time_s,mean_degree,deg_p50,deg_p90,deg_max,isolated_frac,edge_homophily,n_components,largest_cc_frac,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
yelp,net_rsr,0.05,3,1,SAGE,none,default,2,45954,340274,0.8090186416881106,0.4631505671994241,0.10451920330524445,0.13600902259349823,2.5,7.404665470123291,7.0,15.0,37.0,0.0634547621011734,0.7696444392204285,4062,0.010140575357966662,0.8089505657621513,0.005900847906978813,0.462509378380771,0.013554555805506048,0.43439716312056736,0.532608695652174,0.36676646706586824,0.10224089635854341,0.7934782608695652,0.05464071856287425,0.01188707280832095,0.8,0.005988023952095809
yelp,net_rsr,0.05,3,2,SAGE,none,default,2,45954,340274,0.8290098932735344,0.4960526115191448,0.11304483562707901,0.15324003994464874,2.4,7.404665470123291,7.0,15.0,37.0,0.0634547621011734,0.7696444392204285,4062,0.010140575357966662,0.8289444517183585,0.005617252635597379,0.4953042097014114,0.015250210155090411,0.450354609929078,0.5521739130434783,0.38023952095808383,0.10784313725490197,0.8369565217391305,0.05763473053892216,0.01337295690936107,0.9,0.006736526946107785
yelp,net_rsr,0.05,3,3,SAGE,none,default,2,45954,340274,0.798165634108565,0.45149037523662405,0.09185401350259781,0.12394026666879654,2.4,7.404665470123291,7.0,15.0,37.0,0.0634547621011734,0.7696444392204285,4062,0.010140575357966662,0.7988821419287416,0.005551377622379576,0.4535023000364857,0.012297096786763752,0.4122340425531915,0.5054347826086957,0.34805389221556887,0.10644257703081232,0.8260869565217391,0.05688622754491018,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rsr,0.05,3,1,SAGE,graph,default,2,45954,340274,0.84210855275193,0.5446305487399398,0.3330318033695221,0.43231332302093506,4.2,7.404665470123291,7.0,15.0,37.0,0.0634547621011734,0.7696444392204285,4062,0.010140575357966662,0.8422033414078983,0.005564227822079693,0.5442797902292961,0.013977970797759521,0.49645390070921985,0.6086956521739131,0.41916167664670656,0.11064425770308123,0.8586956521739131,0.05913173652694611,0.01337295690936107,0.9,0.006736526946107785
yelp,net_rsr,0.05,3,2,SAGE,graph,default,2,45954,340274,0.8497379763131577,0.5646525185790626,0.343563050031662,0.42839524149894714,4.2,7.404665470123291,7.0,15.0,37.0,0.0634547621011734,0.7696444392204285,4062,0.010140575357966662,0.8492948796478611,0.005270914949627926,0.5633957015748254,0.014645196787159658,0.50177304964539,0.6152173913043478,0.4236526946107784,0.11764705882352941,0.9130434782608695,0.06287425149700598,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rsr,0.05,3,3,SAGE,graph,default,2,45954,340274,0.837305785577521,0.5273903205854147,0.3037707209587097,0.40242743492126465,4.2,7.404665470123291,7.0,15.0,37.0,0.0634547621011734,0.7696444392204285,4062,0.010140575357966662,0.8371159086610885,0.005025015044979961,0.528384157938553,0.014665970381934497,0.4787234042553192,0.5869565217391305,0.4041916167664671,0.10644257703081232,0.8260869565217391,0.05688622754491018,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rsr,0.1,1,1,GCN,none,default,2,45954,680548,0.6515821462980353,0.27299879070958893,0.0011257664300501347,0.022487204521894455,7.2,14.809330940246582,14.0,28.0,79.0,0.02563432976603508,0.7726508378982544,2031,0.010140575357966662,0.6514862037402813,0.006920729984017643,0.27497043619866557,0.011331347225311723,0.2730496453900709,0.3347826086956522,0.23053892215568864,0.06862745098039216,0.532608695652174,0.036676646706586824,0.007429420505200594,0.5,0.0037425149700598802
yelp,net_rsr,0.1,1,2,GCN,none,default,2,45954,680548,0.6488346658261888,0.2688626761460057,0.0013426309451460838,0.027310309931635857,7.2,14.809330940246582,14.0,28.0,79.0,0.02563432976603508,0.7726508378982544,2031,0.010140575357966662,0.6466285679827654,0.00870084935916983,0.2677265063829465,0.012785667321348445,0.2801418439716312,0.34347826086956523,0.23652694610778444,0.06162464985994398,0.4782608695652174,0.03293413173652695,0.007429420505200594,0.5,0.0037425149700598802
yelp,net_rsr,0.1,1,3,GCN,none,default,2,45954,680548,0.6486988472139225,0.26210746070324004,0.00157990213483572,0.02943534031510353,7.2,14.809330940246582,14.0,28.0,79.0,0.02563432976603508,0.7726508378982544,2031,0.010140575357966662,0.6504003146634151,0.008620941141391667,0.2655020344857165,0.012267950750438912,0.2712765957446808,0.33260869565217394,0.22904191616766467,0.058823529411764705,0.45652173913043476,0.03143712574850299,0.005943536404160475,0.4,0.0029940119760479044
yelp,net_rsr,0.1,1,1,GCN,graph,default,2,45954,680548,0.7183807982304232,0.34819008237517196,0.029845690354704857,0.32662278413772583,8.9,14.809330940246582,14.0,28.0,79.0,0.02563432976603508,0.7726508378982544,2031,0.010140575357966662,0.7181807005806291,0.0071459382199304975,0.35049304959626887,0.013338131023446005,0.3448581560283688,0.42282608695652174,0.2911676646706587,0.08823529411764706,0.6847826086956522,0.04715568862275449,0.010401188707280832,0.7,0.005239520958083832
