dataset,relation,mean_degree,n_nodes,n_edges,model,norm,init,seed,layers,auc,auprc,mad,mad_random,train_time_s,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
yelp,net_rsr,148.09,45954,6805486,GCN,none,default,1,2,0.5844661237606255,0.23823361446013114,1.8984078753447875e-09,0.006738563068211079,59.0,0.5844521864840317,0.0071671556944562734,0.23962306117595222,0.010028854106484719,0.2276923076923077,0.27582534611288606,0.19386227544910178,0.0925414364640884,0.5982142857142857,0.050149700598802395,0.010393466963622866,0.6363636363636364,0.005239520958083832
yelp,net_rsr,148.09,45954,6805486,GCN,none,default,2,2,0.5854069451473835,0.2299157016233634,-3.361702027859792e-09,0.008532388135790825,59.0,0.5836719194600319,0.00885986812097126,0.22797630829480856,0.011056702416869752,0.22096069868995633,0.26519916142557654,0.18937125748502995,0.08916323731138547,0.5327868852459017,0.048652694610778445,0.010385756676557863,0.5833333333333334,0.005239520958083832
yelp,net_rsr,148.09,45954,6805486,GCN,none,default,3,2,0.5900592685555569,0.2390416906481423,9.73343805554805e-09,0.008642141707241535,59.1,0.5909855695014252,0.009103166813342185,0.24079084544432106,0.012108504868461416,0.23305272485600353,0.28555917480998916,0.1968562874251497,0.09027777777777778,0.625,0.048652694610778445,0.010401188707280832,0.7,0.005239520958083832
yelp,net_rsr,148.09,45954,6805486,GCN,layer,default,1,2,0.6004551805248972,0.24754954421765094,1.941323368725989e-08,0.027367061004042625,59.5,0.6008400674059141,0.0076699070601156955,0.24894680220403193,0.011072357758990554,0.24379432624113476,0.29891304347826086,0.2058383233532934,0.08876560332871013,0.6037735849056604,0.04790419161676647,0.013353115727002967,0.75,0.006736526946107785
yelp,net_rsr,148.09,45954,6805486,GCN,layer,default,2,2,0.6128224870269644,0.2590621440113584,9.47415834673393e-09,0.039849087595939636,59.4,0.610239959128102,0.008933498202124149,0.2564349574837065,0.011894826127702063,0.2555066079295154,0.31049250535331907,0.21706586826347304,0.0937062937062937,0.7127659574468085,0.050149700598802395,0.01337295690936107,0.9,0.006736526946107785
yelp,net_rsr,148.09,45954,6805486,GCN,layer,default,3,2,0.6068212670890398,0.2518471264240172,1.5389918672781278e-08,0.03368638828396797,59.5,0.6078231464347426,0.008759881530561927,0.2532146812859476,0.012334187703021148,0.24645390070921985,0.30217391304347824,0.20808383233532934,0.08403361344537816,0.6521739130434783,0.04491017964071856,0.01337295690936107,0.9,0.006736526946107785
yelp,net_rsr,148.09,45954,6805486,GCN,graph,default,1,2,0.6310027920228789,0.26767524074223176,1.1533498600613257e-09,0.4647376537322998,60.9,0.6310321001656422,0.007782792492550811,0.2695578749001875,0.011716842345355442,0.26713843432109685,0.3264864864864865,0.22604790419161677,0.0784313725490196,0.6086956521739131,0.041916167664670656,0.01337295690936107,0.9,0.006736526946107785
yelp,net_rsr,148.09,45954,6805486,GCN,graph,default,2,2,0.6415064632699976,0.2906743372485514,4.249811169643181e-09,0.4130161702632904,60.9,0.6393990652892029,0.009560487943375566,0.28769292663356394,0.012951660827707129,0.2813321647677476,0.339323467230444,0.2402694610778443,0.09663865546218488,0.75,0.051646706586826345,0.017804154302670624,1.0,0.008982035928143712
yelp,net_rsr,148.09,45954,6805486,GCN,graph,default,3,2,0.6388690287449541,0.27997093282469787,1.2537837434933863e-08,0.41694384813308716,60.9,0.639070133911552,0.008711297156253107,0.2807740357013841,0.012602504623711005,0.26532399299474607,0.31962025316455694,0.22679640718562874,0.08817354793561931,0.6774193548387096,0.04715568862275449,0.013343217197924388,0.6923076923076923,0.006736526946107785
yelp,net_rsr,148.09,45954,6805486,GAT,none,default,1,2,0.5837546362214472,0.22172234169015922,6.833672738792984e-09,0.008177000097930431,108.2,0.58483933519259,0.0075882709939300175,0.22391800340918333,0.01016233970579926,0.22566371681415928,0.275974025974026,0.19086826347305388,0.0489853044086774,0.3763440860215054,0.02619760479041916,0.016320474777448073,0.9166666666666666,0.008233532934131737
