dataset,model,norm,stats,seed,init,layers,n_stat_nodes,auc,auprc,mad,mad_random,train_time_s,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
yelp,GCN,none,all,1,default,2,45954,0.585058990344159,0.192761419344454,6.0907947045052424e-05,0.0057313768193125725,66.7,0.5857558336544354,0.007089649663993594,0.19357616269444,0.007543562988343931,0.20301418439716312,0.24891304347826088,0.17140718562874252,0.0350140056022409,0.2717391304347826,0.0187125748502994,0.0014858841010401188,0.1,0.0007485029940119761
yelp,GCN,none,all,2,default,2,45954,0.5771886566734148,0.1948485602495001,8.028335287235677e-05,0.006783292628824711,66.7,0.5755204513562561,0.009080531325892776,0.19436759946119225,0.00856969427833282,0.2154255319148936,0.26413043478260867,0.18188622754491018,0.037815126050420166,0.29347826086956524,0.020209580838323353,0.0029717682020802376,0.2,0.0014970059880239522
yelp,GCN,none,all,3,default,2,45954,0.588005649215825,0.19392506640833165,8.946815796662122e-05,0.006861587055027485,66.7,0.5872232797632584,0.008581831082093807,0.194721855365873,0.0075410614939377734,0.20035460992907803,0.24565217391304348,0.1691616766467066,0.037815126050420166,0.29347826086956524,0.020209580838323353,0.0,0.0,0.0
yelp,GCN,layer,all,1,default,2,45954,0.5909294413972462,0.23034165274098947,0.00021063716849312186,0.01709180697798729,67.3,0.5917502960338876,0.007463402107826885,0.23197949659459183,0.010845912864636808,0.2349290780141844,0.28804347826086957,0.19835329341317365,0.06857942617214835,0.5268817204301075,0.036676646706586824,0.01188707280832095,0.8,0.005988023952095809
yelp,GCN,layer,all,2,default,2,45954,0.6072244354214178,0.24100520608009193,0.0004249058256391436,0.031290728598833084,67.3,0.6052332556131091,0.00898320410449748,0.23903198636545947,0.011023349963921741,0.2429078014184397,0.29782608695652174,0.20508982035928144,0.0741777466759972,0.5698924731182796,0.03967065868263473,0.01188707280832095,0.8,0.005988023952095809
yelp,GCN,layer,all,3,default,2,45954,0.6051617646834639,0.24309030287407962,0.0003128031676169485,0.021647274494171143,67.3,0.6047965368161846,0.008572763263168678,0.2444648387436402,0.011717981336013308,0.24822695035460993,0.30434782608695654,0.20958083832335328,0.06442577030812324,0.5,0.0344311377245509,0.014858841010401188,1.0,0.0074850299401197605
yelp,GCN,batch,all,1,default,2,45954,0.6314012917393319,0.26458828429815007,0.01861298456788063,0.47020745277404785,68.0,0.6310961078507995,0.007777960897310374,0.26561167137520303,0.011633396808290822,0.2570921985815603,0.31521739130434784,0.21706586826347304,0.0784313725490196,0.6086956521739131,0.041916167664670656,0.01337295690936107,0.9,0.006736526946107785
yelp,GCN,batch,all,2,default,2,45954,0.6296305047745648,0.27453868046333274,0.019485194236040115,0.4471729099750519,68.0,0.6274805922281346,0.009326009054225133,0.27171664027534914,0.012697674378731514,0.25354609929078015,0.3108695652173913,0.21407185628742514,0.09663865546218488,0.75,0.051646706586826345,0.014858841010401188,1.0,0.0074850299401197605
yelp,GCN,batch,all,3,default,2,45954,0.6301607737935534,0.27024163018608593,0.016684941947460175,0.41948947310447693,67.9,0.6293213585433421,0.008051005511089334,0.271415332553122,0.012340820536604295,0.2641843971631206,0.3239130434782609,0.22305389221556887,0.08823529411764706,0.6847826086956522,0.04715568862275449,0.016320474777448073,0.9166666666666666,0.008233532934131737
yelp,GCN,graph,all,1,default,2,45954,0.6349737357006964,0.26831516199103816,0.01794804446399212,0.42900270223617554,68.2,0.634792432280343,0.0076257333336274,0.26968835204975766,0.011705639688239686,0.25975177304964536,0.3184782608695652,0.21931137724550898,0.07703081232492998,0.5978260869565217,0.04116766467065868,0.01188707280832095,0.8,0.005988023952095809
